Category,Per Capita Consumption(Kwh),Per_chg_over_years
2002-03,566.69,0
2003-04,592,4.275337838
2004-05,612.4985756,3.346713998
2005-06,631.41,2.99511006
2006-07,671.89,6.024795725
2007-08,717.13,6.308479634
2008-09,733.54,2.237096818
2009-10,778.7059693,5.800131383
2010-11,818.7461672,4.890428741
2011-12,883.6314913,7.343029842
2012-13,914.4106342,3.366008857
2013-14,956.6382874,4.414171349
2014-15,1009.608027,5.246564821
2015-16,1074.646514,6.052081929
2016-17,1121.731963,4.197566809
2017-18,1149.102247,2.381884148
2018-19,1180.856498,2.689086325
2019-20,1207.890925,2.23815132
2020-21,1160.543093,-4.079799503
2021-22,1255.139534,7.536727028
