Month-Year,Thermal,Nuclear,Hydro,Renewable,Total Power Generation(BU-Billion Units)
Feb-2019,89.30048,3.17291,8.43584,11.24518,112.22261
Mar-2019,82.81242,4.05431,9.08989,11.30045,107.36345
Apr-2019,66.80572,3.86008,10.12142,10.63382,91.67904
Jul-2019,87.37192,4.38228,15.77735,16.1768,107.53155
Aug-2019,80.78213,4.30232,19.92838,14.92247,105.01283
Sep-2019,78.98025,4.22023,20.79072,10.79665,103.9912
Oct-2019,79.11494,4.31243,14.63631,7.63473,98.06368
Nov-2019,79.53301,3.79235,10.02093,8.5937,93.34629
Dec-2019,86.32915,3.67659,8.92689,10.70476,98.93263
Jan-2020,90.8031,3.43739,8.66507,10.69897,102.90556
Feb-2020,89.30048,3.17291,8.43584,11.64895,100.90923
Mar-2020,82.81242,4.05431,9.08989,,95.95662
Apr-2020,66.80572,3.86008,10.12142,,80.78722
May-2020,77.89375,3.79754,14.02613,12.75445,95.71742
Jun-2020,78.14717,3.76473,17.01582,11.158316,98.92772
Jul-2020,85.44727,3.35852,17.9224,11.24931,106.72819
Aug-2020,79.0337,3.59073,18.94988,14.48887,101.57431
Sep-2020,85.98774,3.88197,18.89044,16.90625,108.76015
Oct-2020,89.65552,3.96913,13.14324,18.96881,106.76789
Nov-2020,82.53546,3.83099,8.41667,17.0903,94.78312
Dec-2020,91.41103,3.89484,8.15893,14.51565,103.4648
Jan-2021,97.19182,3.2145,7.96344,,108.36976
Feb-2021,91.29931,2.70482,7.31626,,101.32039
Mar-2021,107.10505,3.16123,8.37489,,118.64117
Apr-2021,103.69741,3.36372,8.26557,,115.3267
May-2021,87.50663,4.00018,11.75214,14.51565,103.25895
Jun-2021,85.43776,3.89212,16.00832,14.51565,105.3382
Jul-2021,92.4267,3.61318,18.74528,17.0903,114.78516
Aug-2021,96.23197,3.13988,20.26991,18.96881,119.64176
Sep-2021,85.31901,3.89696,17.76529,16.90625,106.98126
Oct-2021,90.10568,4.41741,15.53461,14.48887,110.0577
Nov-2021,82.70887,4.06263,9.70573,11.24931,96.47723
Dec-2021,93.29551,4.45132,8.06618,11.15832,105.81301
Jan-2022,96.29228,4.0567,7.49703,12.75445,107.84601
Feb-2022,92.93151,3.81139,7.43341,13.14462,104.17631
Mar-2022,108.76115,4.40657,10.58386,13.33074,123.75158
Apr-2022,111.58283,3.52119,11.54096,15.64311,126.64498
May-2022,108.41617,3.52472,12.88091,30.22401,124.8218
Jun-2022,105.61817,3.86738,13.94612,20.88301,123.43167
Jul-2022,94.35588,4.01693,19.46511,19.14055,117.83792
Aug-2022,93.23,3.58677,23.40411,18.25469,120.22088
Sep-2022,93.29594,3.41252,22.01656,16.94329,118.72502
Oct-2022,88.18558,4.21926,16.17867,14.23861,108.58351
Nov-2022,94.46284,3.86967,9.88041,13.39341,108.21292
Dec-2022,102.94225,3.90158,8.59076,15.59542,115.43459
Jan-2023,106.39371,4.11892,8.06315,17.73538,118.57578
Feb-2023,99.36763,3.77436,8.35846,15.59936,111.50045
Mar-2023,108.35967,4.04779,7.77355,17.16472,120.18101
Apr-2023,111.57348,3.51245,8.72897,16.67514,123.8149
May-2023,111.51528,3.49591,11.45868,,126.46987
