DATE,Wind,Solar,Biomass,Bagasse,Small Hydel,Others,RE Generation Total(MU)
Apr-19,3707.29,4181.23,235.01,1201.29,518.15,38.77,9881.74
May-19,6603.94,4342.59,229.03,632.78,592.36,29.37,12430.07
Jun-19,8781.15,3931.59,202.28,313.76,665.55,38.23,13932.56
Jul-19,11343.6,3438.82,275.22,258.75,831.38,29.03,16176.8
Aug-19,9704.01,3587.47,234.16,251.26,1120.48,25.09,14922.47
Sep-19,5478.29,3564.79,202.24,234.15,1290.35,26.83,10796.65
Oct-19,2111.49,3868.28,249.17,249.75,1110.23,4.18,7593.1
Nov-19,2723.82,3936.16,207.67,867.72,830.52,27.57,8593.46
Dec-19,3950.78,3924.62,239.1,1857.18,701.69,29.61,10702.98
Jan-20,3319.96,4612.56,273.22,1906.93,562.16,23.96,10698.79
Feb-20,3518.88,5085.175,312.2,1735.14,561.02,28.68,11241.095
Apr-21,3734.39,6122.2,288.9,884.08,440.04,179.34,11648.95
May-21,7083.52,5994.67,301.71,404.37,554.69,176.69,14515.65
Jun-21,9725.45,6006.23,317.59,151.36,725.56,164.11,17090.3
Jul-21,11421.28,5170.06,303.08,691.79,1222.08,160.52,18968.81
Aug-21,9348.92,5449.51,300.46,151.57,1476.12,179.67,16906.25
Sep-21,6981.27,5409.09,252.72,138.69,1525.12,181.98,14488.87
Oct-21,2977.92,6225.91,234.16,337.43,1275.24,198.65,11249.31
Nov-21,3277.51,5014.78,251.46,1524.816,879.1,210.65,11158.316
Dec-21,3577.02,5858.04,296.2,2183.6,630.05,209.54,12754.45
Jan-22,3398.22,6611.1,321.69,2075.27,528.88,214.46,13149.62
Feb-22,3107.75,7276.19,275.08,1923.4,567.61,180.71,13330.74
Mar-22,4006.84,8338.24,339.71,2107.52,639.08,211.72,15643.11
Apr-22,4126.2247,8334.275846,317.662014,1441.045,682.400972,215.567884,15117.17642
Apr-22,4126.24,8323.9,317.68,1441.04,682.41,215.56,15106.83
May-22,10174.26919,8827.561706,306.007871,723.26709,644.689393,207.2113824,20883.00663
Jun-22,9708.522277,8259.913508,302.170281,331.136576,698.8935255,196.3222098,19496.95838
Jul-22,10266.44448,6965.889159,226.348651,229.612,1240.826157,211.4303,19140.55075
Aug-22,8694.963854,7428.253201,196.224873,201.061734,1520.982176,213.201966,18254.6878
Sep-22,6654.49,8207.73,172.31,164.8,1539.56,204.4,16943.29
Oct-22,3421.81,8726.85,215.18,348.2,1297.68,228.89,14238.61
Nov-22,2489.498594,7976.87598,190.206496,1517.6357,1009.277179,209.9120099,13393.40596
Dec-22,3996.145621,8207.508046,325.611509,2097.861854,758.455625,209.8415947,15595.42425
Jan-23,5013.743361,9290.014919,331.449465,2261.97433,638.2266384,199.9749405,17735.38365
Feb-23,3126.989655,9555.405254,290.22257,1862.921422,560.8093194,203.0097091,15599.35793
Mar-23,4141.069259,10244.33607,287.928397,1683.6526,578.317954,229.412142,17164.71642
Apr-23,4249.196864,10318.69339,295.616326,1000.315361,586.2064324,225.1152674,16675.14364
